TERRITORIO,COD_MUN,TIME_PERIOD,TIME_PERIOD_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,NOMBRE,ISLA,valor_referencia
Arrecife,35004,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,67.8,Arrecife,Lanzarote,67.8
Arrecife,35004,2022,2022,Otros ingresos,OTROS_INGRESOS,10.6,Arrecife,Lanzarote,67.8
Arrecife,35004,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,Arrecife,Lanzarote,67.8
Arrecife,35004,2022,2022,Pensiones,PENSIONES,14.4,Arrecife,Lanzarote,67.8
Arrecife,35004,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,Arrecife,Lanzarote,67.8
Haría,35010,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.8,Haría,Lanzarote,56.8
Haría,35010,2022,2022,Otros ingresos,OTROS_INGRESOS,16.0,Haría,Lanzarote,56.8
Haría,35010,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,Haría,Lanzarote,56.8
Haría,35010,2022,2022,Pensiones,PENSIONES,20.8,Haría,Lanzarote,56.8
Haría,35010,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.2,Haría,Lanzarote,56.8
San Bartolomé,35018,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,68.2,San Bartolomé,Lanzarote,68.2
San Bartolomé,35018,2022,2022,Otros ingresos,OTROS_INGRESOS,13.8,San Bartolomé,Lanzarote,68.2
San Bartolomé,35018,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.3,San Bartolomé,Lanzarote,68.2
San Bartolomé,35018,2022,2022,Pensiones,PENSIONES,12.5,San Bartolomé,Lanzarote,68.2
San Bartolomé,35018,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,San Bartolomé,Lanzarote,68.2
Teguise,35024,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.9,Teguise,Lanzarote,64.9
Teguise,35024,2022,2022,Otros ingresos,OTROS_INGRESOS,19.3,Teguise,Lanzarote,64.9
Teguise,35024,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,2.9,Teguise,Lanzarote,64.9
Teguise,35024,2022,2022,Pensiones,PENSIONES,11.0,Teguise,Lanzarote,64.9
Teguise,35024,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,1.8,Teguise,Lanzarote,64.9
Tías,35028,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,58.7,Tías,Lanzarote,58.7
Tías,35028,2022,2022,Otros ingresos,OTROS_INGRESOS,23.1,Tías,Lanzarote,58.7
Tías,35028,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,2.8,Tías,Lanzarote,58.7
Tías,35028,2022,2022,Pensiones,PENSIONES,13.2,Tías,Lanzarote,58.7
Tías,35028,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.2,Tías,Lanzarote,58.7
Tinajo,35029,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,66.2,Tinajo,Lanzarote,66.2
Tinajo,35029,2022,2022,Otros ingresos,OTROS_INGRESOS,16.0,Tinajo,Lanzarote,66.2
Tinajo,35029,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.3,Tinajo,Lanzarote,66.2
Tinajo,35029,2022,2022,Pensiones,PENSIONES,12.1,Tinajo,Lanzarote,66.2
Tinajo,35029,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,Tinajo,Lanzarote,66.2
Yaiza,35034,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,65.1,Yaiza,Lanzarote,65.1
Yaiza,35034,2022,2022,Otros ingresos,OTROS_INGRESOS,19.7,Yaiza,Lanzarote,65.1
